"Year","RM","Sum_days_rm_dry"
2003,54,0
2003,55,0
2003,56,0
2003,57,4
2003,58,4
2003,59,4
2003,60,4
2003,61,4
2003,62,2
2003,63,2
2003,64,2
2003,65,2
2003,66,2
2003,67,2
2003,68,2
2003,69,1
2003,70,1
2003,71,1
2003,72,0
2003,73,0
2003,74,6
2003,75,6
2003,76,6
2003,77,6
2003,78,6
2003,79,6
2003,80,6
2003,81,6
2003,82,6
2003,83,6
2003,84,6
2003,85,6
2003,86,6
2003,87,6
2003,88,5
2003,89,5
2003,90,5
2003,91,5
2003,92,5
2003,93,4
2003,94,4
2003,95,2
2003,96,2
2003,97,2
2003,98,1
2003,99,1
2003,100,1
2003,101,1
2003,102,1
2003,103,1
2003,104,1
2003,105,1
2003,106,1
2003,107,1
2003,108,0
2003,109,0
2003,110,0
2003,111,0
2003,112,0
2003,113,0
2003,114,0
2003,115,0
2003,116,2
2003,117,2
2003,118,2
2003,119,1
2003,120,1
2003,121,1
2003,122,1
2003,123,1
2003,124,1
2003,125,1
2003,126,1
2003,127,1
2003,128,0
2003,129,0
2003,130,0
2003,131,0
2003,132,0
2003,133,0
2003,134,0
2003,135,0
2003,136,0
2003,137,0
2003,138,0
2003,139,0
2003,140,0
2003,141,0
2003,142,0
2003,143,0
2003,144,0
2003,145,0
2003,146,0
2003,147,0
2003,148,0
2003,149,0
2003,150,0
2003,151,0
2003,152,0
2003,153,0
2003,154,0
2003,155,0
2003,156,0
2003,157,0
2003,158,0
2003,159,0
2003,160,0
2003,161,0
2003,162,0
2003,163,0
2003,164,0
2003,165,0
2003,166,0
2003,167,0
2004,54,0
2004,55,0
2004,56,0
2004,57,0
2004,58,0
2004,59,0
2004,60,0
2004,61,0
2004,62,0
2004,63,0
2004,64,0
2004,65,0
2004,66,0
2004,67,0
2004,68,0
2004,69,0
2004,70,0
2004,71,0
2004,72,0
2004,73,0
2004,74,57
2004,75,57
2004,76,56
2004,77,56
2004,78,56
2004,79,56
2004,80,56
2004,81,55
2004,82,54
2004,83,54
2004,84,53
2004,85,52
2004,86,52
2004,87,52
2004,88,51
2004,89,50
2004,90,49
2004,91,46
2004,92,46
2004,93,45
2004,94,44
2004,95,41
2004,96,40
2004,97,39
2004,98,38
2004,99,37
2004,100,29
2004,101,28
2004,102,28
2004,103,28
2004,104,28
2004,105,25
2004,106,24
2004,107,23
2004,108,21
2004,109,15
2004,110,5
2004,111,2
2004,112,2
2004,113,2
2004,114,2
2004,115,2
2004,116,3
2004,117,1
2004,118,1
2004,119,1
2004,120,1
2004,121,1
2004,122,1
2004,123,1
2004,124,1
2004,125,1
2004,126,1
2004,127,1
2004,128,0
2004,129,0
2004,130,0
2004,131,0
2004,132,9
2004,133,9
2004,134,9
2004,135,8
2004,136,3
2004,137,2
2004,138,1
2004,139,1
2004,140,1
2004,141,0
2004,142,0
2004,143,0
2004,144,0
2004,145,0
2004,146,0
2004,147,0
2004,148,0
2004,149,0
2004,150,0
2004,151,0
2004,152,38
2004,153,38
2004,154,38
2004,155,35
2004,156,30
2004,157,29
2004,158,29
2004,159,29
2004,160,28
2004,161,27
2004,162,27
2004,163,24
2004,164,19
2004,165,5
2004,166,5
2004,167,3
2005,54,0
2005,55,0
2005,56,0
2005,57,14
2005,58,14
2005,59,13
2005,60,13
2005,61,13
2005,62,13
2005,63,13
2005,64,13
2005,65,11
2005,66,10
2005,67,10
2005,68,9
2005,69,8
2005,70,7
2005,71,7
2005,72,7
2005,73,1
2005,74,41
2005,75,41
2005,76,40
2005,77,39
2005,78,37
2005,79,37
2005,80,37
2005,81,36
2005,82,32
2005,83,30
2005,84,28
2005,85,24
2005,86,22
2005,87,21
2005,88,21
2005,89,21
2005,90,21
2005,91,17
2005,92,11
2005,93,6
2005,94,5
2005,95,1
2005,96,0
2005,97,0
2005,98,0
2005,99,0
2005,100,0
2005,101,0
2005,102,0
2005,103,0
2005,104,0
2005,105,0
2005,106,0
2005,107,0
2005,108,0
2005,109,0
2005,110,0
2005,111,0
2005,112,0
2005,113,0
2005,114,0
2005,115,0
2005,116,0
2005,117,0
2005,118,0
2005,119,0
2005,120,0
2005,121,0
2005,122,0
2005,123,0
2005,124,0
2005,125,0
2005,126,0
2005,127,0
2005,128,0
2005,129,0
2005,130,0
2005,131,0
2005,132,0
2005,133,0
2005,134,0
2005,135,0
2005,136,0
2005,137,0
2005,138,0
2005,139,0
2005,140,0
2005,141,0
2005,142,0
2005,143,0
2005,144,0
2005,145,0
2005,146,0
2005,147,0
2005,148,0
2005,149,0
2005,150,0
2005,151,0
2005,152,3
2005,153,2
2005,154,2
2005,155,2
2005,156,0
2005,157,0
2005,158,0
2005,159,0
2005,160,0
2005,161,0
2005,162,0
2005,163,0
2005,164,0
2005,165,0
2005,166,0
2005,167,0
2006,54,0
2006,55,0
2006,56,0
2006,57,0
2006,58,0
2006,59,0
2006,60,0
2006,61,0
2006,62,0
2006,63,0
2006,64,0
2006,65,0
2006,66,0
2006,67,0
2006,68,0
2006,69,0
2006,70,0
2006,71,0
2006,72,0
2006,73,0
2006,74,40
2006,75,36
2006,76,34
2006,77,32
2006,78,31
2006,79,28
2006,80,28
2006,81,24
2006,82,19
2006,83,18
2006,84,15
2006,85,12
2006,86,11
2006,87,9
2006,88,8
2006,89,4
2006,90,2
2006,91,1
2006,92,1
2006,93,0
2006,94,0
2006,95,0
2006,96,0
2006,97,0
2006,98,0
2006,99,0
2006,100,0
2006,101,0
2006,102,0
2006,103,0
2006,104,0
2006,105,0
2006,106,0
2006,107,0
2006,108,0
2006,109,0
2006,110,0
2006,111,0
2006,112,0
2006,113,0
2006,114,0
2006,115,0
2006,116,0
2006,117,0
2006,118,0
2006,119,0
2006,120,0
2006,121,0
2006,122,0
2006,123,0
2006,124,0
2006,125,0
2006,126,0
2006,127,0
2006,128,0
2006,129,0
2006,130,0
2006,131,0
2006,132,0
2006,133,0
2006,134,0
2006,135,0
