FID,RiverMile,Name,RMNum,DryPer,Latitude,Longitude
0,MILE 232.6,Cochiti Dam,233,0,35.61722836,-106.3185027
1,MILE 232, ,232,0,35.61748038,-106.3294479
2,MILE 231, ,231,0,35.60552101,-106.3340349
3,MILE 230, ,230,0,35.59689882,-106.3482319
4,MILE 229, ,229,0,35.58607584,-106.354318
5,MILE 228, ,228,0,35.57405883,-106.3579476
6,MILE 227, ,227,0,35.56158262,-106.3594296
7,MILE 226, ,226,0,35.54680181,-106.3608833
8,MILE 225, ,225,0,35.53449231,-106.368958
9,MILE 224, ,224,0,35.52222318,-106.3784616
10,MILE 223, ,223,0,35.51145155,-106.3882627
11,MILE 222, ,222,0,35.50224424,-106.3966914
12,MILE 221, ,221,0,35.49108791,-106.4022572
13,MILE 220, ,220,0,35.47850303,-106.4024572
14,MILE 219, ,219,0,35.46877295,-106.4099163
15,MILE 218, ,218,0,35.45780088,-106.4213818
16,MILE 217, ,217,0,35.44991607,-106.4337131
17,MILE 216.1,BIA Road at San Felipe,216,0,35.44006825,-106.4427413
18,MILE 216, ,216,0,35.43891463,-106.4436785
19,MILE 215, ,215,0,35.42600873,-106.4494038
20,MILE 214, ,214,0,35.41576684,-106.4586644
21,MILE 213, ,213,0,35.4063115,-106.469673
22,MILE 212, ,212,0,35.39417914,-106.4755704
23,MILE 211, ,211,0,35.38532849,-106.487087
24,MILE 210, ,210,0,35.381108,-106.5004904
25,MILE 209, ,209,0,35.37593757,-106.5142644
26,MILE 208, ,208,0,35.3629474,-106.5151859
27,MILE 207, ,207,0,35.3547566,-106.5258325
28,MILE 206, ,206,0,35.34697942,-106.5393906
29,MILE 205, ,205,0,35.33684026,-106.5500416
30,MILE 204, ,204,0,35.324819,-106.5566423
31,MILE 203.8,US Highway 550 Bridge (Bernalillo),204,0,35.32210161,-106.5574047
32,MILE 203, ,203,0,35.31144999,-106.5593129
33,MILE 202, ,202,0,35.3035911,-106.5729506
34,MILE 201, ,201,0,35.29220178,-106.5826668
35,MILE 200, ,200,0,35.28397474,-106.5968354
36,MILE 199, ,199,0,35.27046272,-106.5979587
37,MILE 198, ,198,0,35.25643837,-106.5944183
38,MILE 197, ,197,0,35.24333427,-106.5889944
39,MILE 196, ,196,0,35.23068706,-106.5911344
40,MILE 195, ,195,0,35.21983637,-106.6024756
41,MILE 194, ,194,0,35.21041467,-106.615727
42,MILE 193, ,193,0,35.20578254,-106.6317429
43,MILE 192, ,192,0,35.1961171,-106.6428657
44,MILE 191, ,191,0,35.18375182,-106.6511085
45,MILE 190, ,190,0,35.17032798,-106.6568823
46,MILE 189, ,189,0,35.15948835,-106.6682324
47,MILE 188, ,188,0,35.14683353,-106.6763274
48,MILE 187, ,187,0,35.13509689,-106.6867902
49,MILE 186, ,186,0,35.12127187,-106.6909211
50,MILE 185, ,185,0,35.10680479,-106.6926147
51,MILE 184, ,184,0,35.09479285,-106.6882444
52,MILE 183.4,Central Ave. Bridge (Albuquerque),183,0,35.08921809,-106.6808797
53,MILE 183, ,183,0,35.084577,-106.6770268
54,MILE 182, ,182,0,35.07400539,-106.6653958
55,MILE 181, ,181,0,35.06172723,-106.6585723
56,MILE 180, ,180,0,35.0477946,-106.6623869
57,MILE 179, ,179,0,35.03565573,-106.6717395
58,MILE 178, ,178,0,35.02131542,-106.6728171
59,MILE 177, ,177,0,35.00924653,-106.6789779
60,MILE 176, ,176,0,34.99735203,-106.6878158
61,MILE 175, ,175,0,34.98325933,-106.68744
62,MILE 174, ,174,0,34.96936715,-106.6887039
63,MILE 173, ,173,0,34.95563301,-106.6840336
64,MILE 172, ,172,0,34.94185875,-106.6820669
65,MILE 171.1,Railroad bridge North of Isleta Pueblo,171,0,34.92946851,-106.6812702
66,MILE 171, ,171,0,34.92830753,-106.680167
67,MILE 170, ,170,0,34.91525658,-106.6818959
68,MILE 169.3,Isleta Diversion Dam,169,0,34.9057143,-106.6854845
69,MILE 169, ,169,0,34.90238938,-106.6887908
70,MILE 168, ,168,0,34.89079485,-106.6988142
71,MILE 167, ,167,0,34.88072833,-106.7113374
72,MILE 166, ,166,0,34.86900687,-106.7211278
73,MILE 165, ,165,0,34.85472515,-106.7188638
74,MILE 164, ,164,0,34.84046314,-106.7149975
75,MILE 163, ,163,0,34.82602255,-106.7152787
76,MILE 162, ,162,0,34.81180331,-106.7124538
77,MILE 161.4,Bridge at State Highway 49 near Los Lunas,161,0,34.80459077,-106.7181789
78,MILE 161, ,161,0,34.79962299,-106.7210958
79,MILE 160, ,160,0,34.78690209,-106.7260759
80,MILE 159, ,159,0,34.77396705,-106.7323025
81,MILE 158, ,158,0,34.76070194,-106.7356575
82,MILE 157, ,157,0,34.74845897,-106.7428951
83,MILE 156, ,156,0,34.73534916,-106.7419093
84,MILE 155, ,155,0,34.72237445,-106.7405729
85,MILE 154, ,154,0,34.71101946,-106.7498065
86,MILE 153, ,153,0,34.69772153,-106.7477532
87,MILE 152, ,152,0,34.68455148,-106.7426232
