"mile","Year","days"
"1",74,2002,78
"2",74.1,2002,78
"3",74.2,2002,78
"4",74.3,2002,78
"5",74.4,2002,78
"6",74.5,2002,78
"7",74.6,2002,78
"8",74.7,2002,77
"9",74.8,2002,77
"10",74.9,2002,77
"11",75,2002,77
"12",75.1,2002,77
"13",75.2,2002,77
"14",75.3,2002,77
"15",75.4,2002,77
"16",75.5,2002,77
"17",75.6,2002,77
"18",75.7,2002,77
"19",75.8,2002,77
"20",75.9,2002,77
"21",76,2002,77
"22",76.1,2002,77
"23",76.2,2002,77
"24",76.3,2002,77
"25",76.4,2002,76
"26",76.5,2002,76
"27",76.6,2002,76
"28",76.7,2002,69
"29",76.8,2002,69
"30",76.9,2002,69
"31",77,2002,69
"32",77.1,2002,69
"33",77.2,2002,69
"34",77.3,2002,69
"35",77.4,2002,69
"36",77.5,2002,69
"37",77.6,2002,69
"38",77.7,2002,69
"39",77.8,2002,69
"40",77.9,2002,69
"41",78,2002,69
"42",78.1,2002,69
"43",78.2,2002,69
"44",78.3,2002,68
"45",78.4,2002,67
"46",78.5,2002,67
"47",78.6,2002,67
"48",78.7,2002,67
"49",78.8,2002,67
"50",78.9,2002,67
"51",79,2002,67
"52",79.1,2002,66
"53",79.2,2002,66
"54",79.3,2002,66
"55",79.4,2002,66
"56",79.5,2002,64
"57",79.6,2002,64
"58",79.7,2002,62
"59",79.8,2002,62
"60",79.9,2002,62
"61",80,2002,60
"62",80.1,2002,60
"63",80.2,2002,60
"64",80.3,2002,60
"65",80.4,2002,60
"66",80.5,2002,60
"67",80.6,2002,60
"68",80.7,2002,60
"69",80.8,2002,60
"70",80.9,2002,59
"71",81,2002,59
"72",81.1,2002,59
"73",81.2,2002,59
"74",81.3,2002,59
"75",81.4,2002,59
"76",81.5,2002,59
"77",81.6,2002,59
"78",81.7,2002,59
"79",81.8,2002,59
"80",81.9,2002,57
"81",82,2002,57
"82",82.1,2002,57
"83",82.2,2002,57
"84",82.3,2002,56
"85",82.4,2002,56
"86",82.5,2002,56
"87",82.6,2002,56
"88",82.7,2002,56
"89",82.8,2002,56
"90",82.9,2002,56
"91",57.5,2002,4
"92",57.6,2002,4
"93",57.7,2002,4
"94",57.8,2002,4
"95",57.9,2002,4
"96",58,2002,4
"97",58.1,2002,4
"98",58.2,2002,4
"99",58.3,2002,4
"100",58.4,2002,4
"101",58.5,2002,4
"102",58.6,2002,4
"103",58.7,2002,4
"104",58.8,2002,4
"105",58.9,2002,4
"106",59,2002,4
"107",59.1,2002,4
"108",59.2,2002,4
"109",59.3,2002,4
"110",59.4,2002,4
"111",59.5,2002,4
"112",59.6,2002,4
"113",59.7,2002,4
"114",59.8,2002,4
"115",59.9,2002,4
"116",60,2002,4
"117",60.1,2002,4
"118",60.2,2002,4
"119",60.3,2002,4
"120",60.4,2002,4
"121",60.5,2002,4
"122",60.6,2002,4
"123",60.7,2002,4
"124",60.8,2002,4
"125",60.9,2002,4
"126",61,2002,4
"127",61.1,2002,4
"128",61.2,2002,4
"129",61.3,2002,4
"130",61.4,2002,4
"131",61.5,2002,4
"132",61.6,2002,4
"133",61.7,2002,4
"134",61.8,2002,4
"135",61.9,2002,4
"136",62,2002,4
"137",62.1,2002,4
"138",62.2,2002,4
"139",62.3,2002,4
"140",62.4,2002,4
"141",62.5,2002,4
"142",62.6,2002,4
"143",62.7,2002,4
"144",62.8,2002,4
"145",62.9,2002,4
"146",63,2002,4
"147",63.1,2002,4
"148",63.2,2002,4
"149",63.3,2002,4
"150",63.4,2002,4
"151",63.5,2002,4
"152",63.6,2002,4
"153",63.7,2002,4
"154",63.8,2002,4
"155",63.9,2002,4
"156",64,2002,4
"157",64.1,2002,4
"158",83,2002,54
"159",83.1,2002,54
"160",83.2,2002,53
"161",83.3,2002,53
"162",83.4,2002,53
"163",83.5,2002,53
"164",83.6,2002,53
"165",83.7,2002,53
"166",83.8,2002,53
"167",83.9,2002,53
"168",84,2002,53
"169",84.1,2002,53
"170",84.2,2002,51
"171",84.3,2002,51
"172",84.4,2002,51
"173",84.5,2002,51
"174",84.6,2002,51
"175",84.7,2002,51
"176",84.8,2002,49
"177",84.9,2002,49
"178",85,2002,48
"179",85.1,2002,48
"180",85.2,2002,44
"181",85.3,2002,44
"182",85.4,2002,44
"183",85.5,2002,44
"184",85.6,2002,44
"185",85.7,2002,44
"186",85.8,2002,44
"187",85.9,2002,43
"188",86,2002,43
"189",86.1,2002,43
"190",86.2,2002,43
"191",86.3,2002,43
"192",86.4,2002,41
"193",86.5,2002,39
"194",86.6,2002,39
"195",86.7,2002,39
"196",86.8,2002,36
"197",86.9,2002,35
"198",87,2002,35
"199",87.1,2002,35
