,Date,URM,LRM,Distance,Year
,1996,92,68.5,23.5,1996
,1997,73.5,64.5,9.0,1997
,1998,84,78,6.0,1998
,1998,68.5,61.5,7.0,1998
,1999,84,78,6.0,1999
,1999,72,57.5,14.5,1999
,2001,84,74,10.0,2001
,2001,68.5,64.5,4.0,2001
,2002,98,74,24.0,2002
1,10/14/2002,80.8,74,6.8,2002
2,10/14/2002,76.6,74,2.6,2002
3,10/20/2002,82.9,74,8.9,2002
4,10/3/2002,78.3,74,4.3,2002
5,10/3/2002,78.2,74,4.2,2002
6,10/3/2002,76.6,74,2.6,2002
7,10/8/2002,79.9,74,5.9,2002
8,10/9/2002,79.6,74,5.6,2002
9,10/9/2002,79,74,5,2002
10,6/10/2002,79.6,74,5.6,2002
11,6/10/2002,79.4,74,5.4,2002
12,6/10/2002,76.6,74,2.6,2002
13,6/13/2002,64.1,57.5,6.6,2002
14,6/20/2002,82.2,74,8.2,2002
15,6/20/2002,76.6,74,2.6,2002
16,6/20/2002,74.6,74,0.6,2002
17,6/21/2002,84.9,74,10.9,2002
18,6/25/2002,64.1,57.5,6.6,2002
19,6/26/2002,91.9,74,17.9,2002
20,6/26/2002,91.7,74,17.7,2002
21,6/26/2002,86.7,74,12.7,2002
22,6/26/2002,86.3,74,12.3,2002
23,6/27/2002,85.1,74,11.1,2002
24,6/27/2002,84.1,74,10.1,2002
25,6/28/2002,84.7,74,10.7,2002
26,6/29/2002,92.4,74,18.4,2002
27,6/29/2002,92,74,18,2002
28,6/29/2002,90.6,74,16.6,2002
29,6/29/2002,84.7,74,10.7,2002
30,6/30/2002,85.1,74,11.1,2002
31,6/6/2002,84.1,74,10.1,2002
32,6/6/2002,83.1,74,9.1,2002
33,6/6/2002,82.9,74,8.9,2002
34,6/6/2002,81.8,74,7.8,2002
35,6/6/2002,81.8,74,7.8,2002
36,6/9/2002,76.6,74,2.6,2002
37,7/1/2002,94,74,20,2002
38,7/1/2002,94,74,20,2002
39,7/1/2002,85.8,74,11.8,2002
40,7/10/2002,94.7,74,20.7,2002
41,7/10/2002,94,74,20,2002
42,7/10/2002,86.7,74,12.7,2002
43,7/11/2002,94,74,20,2002
44,7/11/2002,86.8,74,12.8,2002
45,7/12/2002,95.1,74,21.1,2002
46,7/12/2002,95.1,74,21.1,2002
47,7/12/2002,94,74,20,2002
48,7/12/2002,87.1,74,13.1,2002
49,7/15/2002,94,74,20,2002
50,7/15/2002,87.1,74,13.1,2002
51,7/15/2002,85.1,74,11.1,2002
52,7/16/2002,93.1,74,19.1,2002
53,7/18/2002,93.1,74,19.1,2002
54,7/18/2002,92,74,18,2002
55,7/18/2002,86.7,74,12.7,2002
56,7/19/2002,91.9,74,17.9,2002
57,7/19/2002,87.1,74,13.1,2002
58,7/2/2002,94,74,20,2002
59,7/2/2002,94,74,20,2002
60,7/2/2002,94,74,20,2002
61,7/2/2002,93.9,74,19.9,2002
62,7/3/2002,94.6,74,20.6,2002
63,7/3/2002,94,74,20,2002
64,7/4/2002,94,74,20,2002
65,7/5/2002,86.4,74,12.4,2002
66,7/5/2002,85.1,74,11.1,2002
67,7/6/2002,92.5,74,18.5,2002
68,7/8/2002,93.3,74,19.3,2002
69,7/8/2002,86.4,74,12.4,2002
70,7/9/2002,93.3,74,19.3,2002
71,7/9/2002,86.3,74,12.3,2002
72,8/18/2002,91,74,17,2002
73,8/18/2002,90.6,74,16.6,2002
74,8/19/2002,76.3,74,2.3,2002
75,8/20/2002,116.1,74,42.1,2002
76,8/20/2002,71,57.5,13.5,2002
77,8/20/2002,68.6,57.5,11.1,2002
78,8/25/2002,76.6,74,2.6,2002
79,9/11/2002,93.2,74,19.2,2002
80,9/30/2002,79.9,74,5.9,2002
81,9/30/2002,79.4,74,5.4,2002
82,9/30/2002,76.6,74,2.6,2002
83,10/2/2003,127.6,116.2,11.4,2003
84,10/2/2003,87.1,74,13.1,2003
85,10/29/2003,97.2,74,23.2,2003
86,10/30/2003,92.6,74,18.6,2003
87,8/11/2003,71.8,57.5,14.3,2003
88,8/11/2003,58.5,57.5,1,2003
89,8/12/2003,61.2,57.5,3.7,2003
90,8/12/2003,58.5,57.5,1,2003
91,8/16/2003,61.2,57.5,3.7,2003
92,8/16/2003,58.5,57.5,1,2003
93,8/5/2003,68.7,57.5,11.2,2003
94,8/5/2003,64,57.5,6.5,2003
95,9/20/2003,94,74,20,2003
96,9/21/2003,94,74,20,2003
97,9/21/2003,87.1,74,13.1,2003
98,9/6/2003,107.7,74,33.7,2003
99,9/6/2003,102.4,74,28.4,2003
100,9/9/2003,118.9,116.2,2.7,2003
101,10/1/2004,109.1,74,35.1,2004
102,10/1/2004,100.1,74,26.1,2004
103,10/2/2004,109.1,74,35.1,2004
104,10/2/2004,100.1,74,26.1,2004
105,10/3/2004,104.5,74,30.5,2004
106,10/3/2004,100.1,74,26.1,2004
107,10/4/2004,97.4,74,23.4,2004
108,10/5/2004,94.8,74,20.8,2004
109,10/6/2004,104.5,74,30.5,2004
110,10/6/2004,76.3,74,2.3,2004
111,6/16/2004,75.6,74,1.6,2004
112,6/17/2004,80,74,6,2004
113,6/19/2004,84.3,74,10.3,2004
114,6/21/2004,89.8,74,15.8,2004
115,6/22/2004,90,74,16,2004
116,6/23/2004,90,74,16,2004
117,6/24/2004,154.9,152.5,2.4,2004
118,6/24/2004,92.3,74,18.3,2004
119,6/26/2004,154.9,152.5,2.4,2004
120,6/26/2004,93.9,74,19.9,2004
121,6/27/2004,94.2,74,20.2,2004
122,6/28/2004,156.5,152.5,4,2004
123,6/28/2004,94.4,74,20.4,2004
124,6/29/2004,87.9,74,13.9,2004
125,7/1/2004,83.6,74,9.6,2004
126,7/1/2004,79.4,74,5.4,2004
127,7/10/2004,95.7,74,21.7,2004
128,7/11/2004,162.5,152.5,10,2004
129,7/12/2004,163.6,152.5,11.1,2004
130,7/13/2004,163.4,152.5,10.9,2004
131,7/14/2004,162.7,152.5,10.2,2004
132,7/14/2004,157.3,152.5,4.8,2004
133,7/15/2004,164,152.5,11.5,2004
134,7/16/2004,164.3,152.5,11.8,2004
135,7/17/2004,136.3,132,4.3,2004
136,7/17/2004,100.1,74,26.1,2004
137,7/18/2004,135.7,132,3.7,2004
138,7/18/2004,132.2,132,0.2,2004
139,7/18/2004,99,74,25,2004
140,7/19/2004,164.3,152.5,11.8,2004
141,7/20/2004,164.5,152.5,12,2004
142,7/20/2004,99.5,74,25.5,2004
143,7/21/2004,99.8,74,25.8,2004
144,7/21/2004,99.5,74,25.5,2004
145,7/22/2004,135.3,132,3.3,2004
146,7/22/2004,99.5,74,25.5,2004
147,7/23/2004,135.8,132,3.8,2004
148,7/31/2004,160.8,152.5,8.3,2004
149,7/5/2004,154.5,152.5,2,2004
150,7/6/2004,155.4,152.5,2.9,2004
151,7/7/2004,155.5,152.5,3,2004
152,7/8/2004,159.8,152.5,7.3,2004
153,8/10/2004,164.3,152.5,11.8,2004
154,8/10/2004,90.9,74,16.9,2004
155,8/11/2004,116.2,74,42.2,2004
156,8/11/2004,96.2,74,22.2,2004
157,8/11/2004,85.1,74,11.1,2004
158,8/11/2004,80.4,74,6.4,2004
159,8/12/2004,88.1,74,14.1,2004
160,8/13/2004,164.6,152.5,12.1,2004
161,8/13/2004,99.5,74,25.5,2004
162,8/13/2004,81.6,74,7.6,2004
163,8/14/2004,164.9,152.5,12.4,2004
164,8/14/2004,99,74,25,2004
165,8/15/2004,164.8,152.5,12.3,2004
166,8/15/2004,116.2,74,42.2,2004
167,8/15/2004,99.8,74,25.8,2004
168,8/16/2004,134.3,132,2.3,2004
169,8/16/2004,133.4,132,1.4,2004
170,8/16/2004,127.6,116.2,11.4,2004
171,8/16/2004,96.8,74,22.8,2004
172,8/2/2004,164,152.5,11.5,2004
173,8/2/2004,161.4,152.5,8.9,2004
