"Date","URM","LRM","Distance","Year"
"1",2002-10-14,80.8,74,6.8,2002
"2",2002-10-14,76.6,74,2.6,2002
"3",2002-10-20,82.9,74,8.9,2002
"4",2002-10-03,78.3,74,4.3,2002
"5",2002-10-03,78.2,74,4.2,2002
"6",2002-10-03,76.6,74,2.6,2002
"7",2002-10-08,79.9,74,5.9,2002
"8",2002-10-09,79.6,74,5.6,2002
"9",2002-10-09,79,74,5,2002
"10",2002-06-10,79.6,74,5.6,2002
"11",2002-06-10,79.4,74,5.4,2002
"12",2002-06-10,76.6,74,2.6,2002
"13",2002-06-13,64.1,57.5,6.6,2002
"14",2002-06-20,82.2,74,8.2,2002
"15",2002-06-20,76.6,74,2.6,2002
"16",2002-06-20,74.6,74,0.6,2002
"17",2002-06-21,84.9,74,10.9,2002
"18",2002-06-25,64.1,57.5,6.6,2002
"19",2002-06-26,91.9,74,17.9,2002
"20",2002-06-26,91.7,74,17.7,2002
"21",2002-06-26,86.7,74,12.7,2002
"22",2002-06-26,86.3,74,12.3,2002
"23",2002-06-27,85.1,74,11.1,2002
"24",2002-06-27,84.1,74,10.1,2002
"25",2002-06-28,84.7,74,10.7,2002
"26",2002-06-29,92.4,74,18.4,2002
"27",2002-06-29,92,74,18,2002
"28",2002-06-29,90.6,74,16.6,2002
"29",2002-06-29,84.7,74,10.7,2002
"30",2002-06-30,85.1,74,11.1,2002
"31",2002-06-06,84.1,74,10.1,2002
"32",2002-06-06,83.1,74,9.1,2002
"33",2002-06-06,82.9,74,8.9,2002
"34",2002-06-06,81.8,74,7.8,2002
"35",2002-06-06,81.8,74,7.8,2002
"36",2002-06-09,76.6,74,2.6,2002
"37",2002-07-01,94,74,20,2002
"38",2002-07-01,94,74,20,2002
"39",2002-07-01,85.8,74,11.8,2002
"40",2002-07-10,94.7,74,20.7,2002
"41",2002-07-10,94,74,20,2002
"42",2002-07-10,86.7,74,12.7,2002
"43",2002-07-11,94,74,20,2002
"44",2002-07-11,86.8,74,12.8,2002
"45",2002-07-12,95.1,74,21.1,2002
"46",2002-07-12,95.1,74,21.1,2002
"47",2002-07-12,94,74,20,2002
"48",2002-07-12,87.1,74,13.1,2002
"49",2002-07-15,94,74,20,2002
"50",2002-07-15,87.1,74,13.1,2002
"51",2002-07-15,85.1,74,11.1,2002
"52",2002-07-16,93.1,74,19.1,2002
"53",2002-07-18,93.1,74,19.1,2002
"54",2002-07-18,92,74,18,2002
"55",2002-07-18,86.7,74,12.7,2002
"56",2002-07-19,91.9,74,17.9,2002
"57",2002-07-19,87.1,74,13.1,2002
"58",2002-07-02,94,74,20,2002
"59",2002-07-02,94,74,20,2002
"60",2002-07-02,94,74,20,2002
"61",2002-07-02,93.9,74,19.9,2002
"62",2002-07-03,94.6,74,20.6,2002
"63",2002-07-03,94,74,20,2002
"64",2002-07-04,94,74,20,2002
